study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp
PRJNA236110	SAMN02594678	SRS541020	SRX445891	SRR1138736	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138736/SRR1138736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/006/SRR1138736/SRR1138736_2.fastq.gz
PRJNA236110	SAMN02594674	SRS541019	SRX445892	SRR1138737	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138737/SRR1138737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/007/SRR1138737/SRR1138737_2.fastq.gz
PRJNA236110	SAMN02594674	SRS541019	SRX445892	SRR1138738	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138738/SRR1138738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/008/SRR1138738/SRR1138738_2.fastq.gz
PRJNA236110	SAMN02594669	SRS541021	SRX445893	SRR1138739	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138739/SRR1138739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/009/SRR1138739/SRR1138739_2.fastq.gz
PRJNA236110	SAMN02594680	SRS541022	SRX445894	SRR1138740	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138740/SRR1138740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/000/SRR1138740/SRR1138740_2.fastq.gz
PRJNA236110	SAMN02594680	SRS541022	SRX445894	SRR1138741	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138741/SRR1138741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/001/SRR1138741/SRR1138741_2.fastq.gz
PRJNA236110	SAMN02594675	SRS541023	SRX445895	SRR1138742	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138742/SRR1138742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/002/SRR1138742/SRR1138742_2.fastq.gz
PRJNA236110	SAMN02594675	SRS541023	SRX445895	SRR1138743	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138743/SRR1138743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/003/SRR1138743/SRR1138743_2.fastq.gz
PRJNA236110	SAMN02594673	SRS541024	SRX445896	SRR1138744	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138744/SRR1138744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/004/SRR1138744/SRR1138744_2.fastq.gz
PRJNA236110	SAMN02594673	SRS541024	SRX445896	SRR1138745	SRA128528	3702	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138745/SRR1138745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/005/SRR1138745/SRR1138745_2.fastq.gz
